Test Case,Process ID,Arrival Time,Burst Time
31,P11,99,10
31,P12,48,13
32,P1,7,13
32,P2,1,6
32,P3,16,3
32,P4,22,16
32,P5,6,13
32,P6,26,13
32,P7,38,17
32,P8,96,14
32,P9,73,2
32,P10,23,20
32,P11,90,4
33,P1,70,2
33,P2,64,3
33,P3,45,10
33,P4,66,12
33,P5,62,16
34,P1,55,5
34,P2,55,4
34,P3,19,16
34,P4,14,11
34,P5,82,6
34,P6,91,2
34,P7,60,1
34,P8,20,16
34,P9,5,16
34,P10,29,2
34,P11,52,17
34,P12,17,11
34,P13,48,10
34,P14,9,10
34,P15,22,20
34,P16,61,15
34,P17,99,13
34,P18,39,3
35,P1,88,10
35,P2,98,9
35,P3,8,6
35,P4,89,4
35,P5,0,3
35,P6,62,18
35,P7,88,18
35,P8,75,10
35,P9,44,18
35,P10,73,17
35,P11,96,19
35,P12,88,4
35,P13,57,7
36,P1,17,13
36,P2,59,20
36,P3,81,5
36,P4,88,2
36,P5,73,14
36,P6,74,11
36,P7,93,7
36,P8,20,20
36,P9,95,20
37,P1,91,18
37,P2,91,11
37,P3,70,19
37,P4,89,3
37,P5,23,13
37,P6,20,15
37,P7,22,2
37,P8,12,1
37,P9,77,8
37,P10,92,10
37,P11,21,18
37,P12,56,4
37,P13,54,13
38,P1,59,13
38,P2,68,4
38,P3,10,18
38,P4,97,14
38,P5,58,6
38,P6,53,18
39,P1,89,9
39,P2,85,11
39,P3,9,13
39,P4,78,15
39,P5,75,5
39,P6,72,1
39,P7,93,6
39,P8,73,1
39,P9,91,7
39,P10,79,2
39,P11,52,11
39,P12,6,1
39,P13,85,16
39,P14,50,13
40,P1,8,9
40,P2,88,10
40,P3,59,2
40,P4,87,19
40,P5,31,8
40,P6,27,3
40,P7,71,15
40,P8,30,17
40,P9,28,20
40,P10,15,16
40,P11,25,11
40,P12,84,1
41,P1,88,18
41,P2,32,4
41,P3,92,5
41,P4,89,11
41,P5,75,16
41,P6,67,14
41,P7,5,7
41,P8,27,6
41,P9,63,3
41,P10,67,2
41,P11,59,3
41,P12,11,17
41,P13,55,4
41,P14,9,19
41,P15,95,7
42,P1,78,15
42,P2,55,6
42,P3,88,4
42,P4,18,8
42,P5,90,7
42,P6,32,7
42,P7,33,16
42,P8,1,12
42,P9,92,18
42,P10,87,6
42,P11,24,17
42,P12,72,2
42,P13,75,1
43,P1,2,18
43,P2,0,9
43,P3,23,13
43,P4,66,19
43,P5,80,2
43,P6,55,11
43,P7,98,11
43,P8,7,20
43,P9,41,4
43,P10,87,14
43,P11,0,10
43,P12,62,6
43,P13,91,1
43,P14,93,1
43,P15,67,19
43,P16,96,4
43,P17,76,7
43,P18,46,14
43,P19,97,3
44,P1,67,17
44,P2,47,2
44,P3,21,12
44,P4,34,13
44,P5,84,11
44,P6,43,11
44,P7,24,9
44,P8,14,9
44,P9,16,1
45,P1,40,18
45,P2,85,7
45,P3,90,2
45,P4,48,14
45,P5,42,15
45,P6,57,18
45,P7,96,3
45,P8,97,20
45,P9,72,17
45,P10,47,2
45,P11,78,20
45,P12,56,17
45,P13,71,11
46,P1,68,4
46,P2,47,5
46,P3,64,14
46,P4,36,8
46,P5,3,15
46,P6,0,2
46,P7,0,4
46,P8,79,4
46,P9,6,16
47,P1,93,19
47,P2,52,11
47,P3,82,6
47,P4,87,8
47,P5,85,20
47,P6,45,4
47,P7,74,3
47,P8,77,2
47,P9,1,4
47,P10,29,3
47,P11,59,4
47,P12,68,13
47,P13,46,7
47,P14,91,19
47,P15,93,7
47,P16,31,5
47,P17,39,9
47,P18,43,4
47,P19,93,7
47,P20,59,7
48,P1,85,18
48,P2,6,16
48,P3,94,3
48,P4,37,2
48,P5,43,11
48,P6,63,11
48,P7,42,3
48,P8,39,9
48,P9,13,20
48,P10,73,3
48,P11,80,7
48,P12,45,18
48,P13,9,7
48,P14,88,5
48,P15,18,12
48,P16,89,16
49,P1,60,15
49,P2,85,10
49,P3,10,3
49,P4,56,5
49,P5,62,19
49,P6,13,14
49,P7,88,11
49,P8,30,12
49,P9,58,4
49,P10,2,14
49,P11,33,2
49,P12,88,16
50,P1,41,14
50,P2,0,15
50,P3,40,6
50,P4,21,8
50,P5,90,9
50,P6,14,10
50,P7,98,7
50,P8,13,12
50,P9,80,10
50,P10,94,1
50,P11,13,6
50,P12,56,11
50,P13,45,16
51,P1,19,19
51,P2,99,16
51,P3,12,17
51,P4,30,4
51,P5,66,13
51,P6,92,2
51,P7,58,9
52,P1,28,20
52,P2,64,16
52,P3,25,12
52,P4,2,11
52,P5,61,12
52,P6,94,10
52,P7,89,4
52,P8,34,18
52,P9,49,14
52,P10,14,1
52,P11,53,1
52,P12,31,4
52,P13,77,5
52,P14,16,7
52,P15,25,5
52,P16,26,14
52,P17,11,15
52,P18,28,9
52,P19,30,7
52,P20,29,6
53,P1,85,3
53,P2,53,12
53,P3,53,15
53,P4,40,5
53,P5,49,20
53,P6,50,10
53,P7,50,1
53,P8,90,8
53,P9,73,16
54,P1,97,10
54,P2,2,1
54,P3,34,8
54,P4,47,11
54,P5,70,5
54,P6,33,16
54,P7,85,1
54,P8,92,14
54,P9,82,14
54,P10,78,19
54,P11,9,2
54,P12,22,17
54,P13,15,6
54,P14,74,5
55,P1,50,15
55,P2,11,20
55,P3,64,19
55,P4,67,19
55,P5,5,14
55,P6,51,11
55,P7,98,7
55,P8,34,6
55,P9,82,19
55,P10,52,14
55,P11,26,9
56,P1,82,17
56,P2,86,3
56,P3,42,2
56,P4,86,2
56,P5,84,4
56,P6,63,18
56,P7,22,9
56,P8,43,2
56,P9,6,20
56,P10,77,17
56,P11,54,9
56,P12,3,11
56,P13,51,13
56,P14,22,10
56,P15,12,5
56,P16,2,8
56,P17,7,20
56,P18,14,10
56,P19,99,7
56,P20,56,1
57,P1,54,15
57,P2,69,2
57,P3,64,18
57,P4,44,20
57,P5,2,8
57,P6,61,1
57,P7,3,18
57,P8,9,12
58,P1,91,1
58,P2,22,4
58,P3,93,7
58,P4,25,20
58,P5,64,7
58,P6,46,10
59,P1,41,1
59,P2,89,2
59,P3,21,5
59,P4,45,2
59,P5,19,19
59,P6,63,2
59,P7,74,11
59,P8,50,13
59,P9,33,14
59,P10,32,14
59,P11,21,14
60,P1,21,20
60,P2,43,18
60,P3,35,4
60,P4,74,10
60,P5,4,18
60,P6,13,1
60,P7,42,6
61,P1,21,12
61,P2,80,2
61,P3,28,3
61,P4,40,4
61,P5,74,6
61,P6,73,18
61,P7,30,6
61,P8,29,4
61,P9,79,12
61,P10,56,11
61,P11,98,11
61,P12,74,18
61,P13,4,10
61,P14,54,4
61,P15,2,16
61,P16,68,1
62,P1,48,13
62,P2,59,12
62,P3,76,7
62,P4,97,8
62,P5,28,14
62,P6,54,18
63,P1,26,15
63,P2,2,7
63,P3,16,8
63,P4,49,19
63,P5,86,14
63,P6,28,13
63,P7,71,6
63,P8,11,6
63,P9,57,5
63,P10,39,8
63,P11,15,14
63,P12,44,12
63,P13,82,16
63,P14,89,10
63,P15,13,14
63,P16,60,17
63,P17,16,14
64,P1,64,20
64,P2,50,10
64,P3,71,19
64,P4,59,10
64,P5,77,16
64,P6,86,20
64,P7,97,12
64,P8,33,20
64,P9,80,10
64,P10,3,7
64,P11,29,16
64,P12,51,18
64,P13,53,1
64,P14,20,11
64,P15,90,18
64,P16,48,18
65,P1,28,16
65,P2,8,2
65,P3,90,1
65,P4,32,10
65,P5,23,4
66,P1,6,8
66,P2,57,9
66,P3,71,9
66,P4,78,16
66,P5,2,9
66,P6,60,5
66,P7,58,12
66,P8,34,4
66,P9,52,20
66,P10,80,7
66,P11,72,10
66,P12,94,8
66,P13,52,3
67,P1,22,13
67,P2,79,16
67,P3,40,9
67,P4,35,20
67,P5,17,10
67,P6,7,8
67,P7,96,8
67,P8,35,13
67,P9,47,16
68,P1,67,11
68,P2,47,9
68,P3,96,18
68,P4,9,17
68,P5,54,4
69,P1,95,16
69,P2,56,6
69,P3,80,13
69,P4,2,9
69,P5,88,18
69,P6,79,9
69,P7,39,16
69,P8,7,6
69,P9,9,20
69,P10,50,15
69,P11,42,5
69,P12,43,19
69,P13,74,1
69,P14,50,7
69,P15,39,6
70,P1,88,20
70,P2,39,12
70,P3,35,16
70,P4,71,3
70,P5,28,8
70,P6,56,14
70,P7,31,18
70,P8,10,18
70,P9,27,11
70,P10,66,3
70,P11,61,12
70,P12,33,17
70,P13,40,1
70,P14,76,10
70,P15,30,20
70,P16,88,18
70,P17,65,12
70,P18,44,11
71,P1,64,10
71,P2,3,4
71,P3,35,9
71,P4,12,8
71,P5,64,7
71,P6,57,6
72,P1,8,4
72,P2,55,13
72,P3,30,19
72,P4,38,17
72,P5,18,10
72,P6,58,5
72,P7,36,11
72,P8,11,7
72,P9,0,19
72,P10,22,7
72,P11,61,14
72,P12,6,13
72,P13,3,2
72,P14,25,16
73,P1,4,11
73,P2,44,1
73,P3,65,2
73,P4,36,5
73,P5,94,13
74,P1,56,20
74,P2,85,12
74,P3,55,10
74,P4,85,17
74,P5,37,2
74,P6,39,19
75,P1,18,12
75,P2,28,4
75,P3,42,20
75,P4,95,16
75,P5,5,12
75,P6,6,14
75,P7,32,6
76,P1,37,12
76,P2,69,9
76,P3,28,12
76,P4,36,18
76,P5,6,1
76,P6,18,1
76,P7,4,18
76,P8,95,10
76,P9,42,8
76,P10,92,1
76,P11,55,10
76,P12,93,18
76,P13,18,19
76,P14,2,11
77,P1,4,15
77,P2,52,19
77,P3,47,8
77,P4,95,7
77,P5,59,6
77,P6,85,20
77,P7,31,14
77,P8,78,11
77,P9,45,11
77,P10,28,9
77,P11,44,5
77,P12,38,5
78,P1,52,6
78,P2,85,7
78,P3,40,16
78,P4,38,16
78,P5,49,15
78,P6,76,17
78,P7,93,13
78,P8,2,4
79,P1,73,15
79,P2,23,10
79,P3,65,16
79,P4,39,11
79,P5,65,8
79,P6,48,6
80,P1,19,13
80,P2,84,7
80,P3,90,11
80,P4,50,14
80,P5,65,15
80,P6,19,4
80,P7,37,2
80,P8,16,18
80,P9,92,6
80,P10,79,9
80,P11,72,15
80,P12,59,14
80,P13,67,11
80,P14,20,9
80,P15,73,13
81,P1,47,18
81,P2,69,2
81,P3,77,9
81,P4,9,20
81,P5,29,10
81,P6,54,9
81,P7,30,17
82,P1,77,18
82,P2,29,9
82,P3,63,13
82,P4,42,12
82,P5,60,7
82,P6,30,2
82,P7,18,12
82,P8,11,13
83,P1,5,20
83,P2,58,15
83,P3,58,1
83,P4,89,2
83,P5,0,10
83,P6,44,15
83,P7,68,15
83,P8,15,3
83,P9,21,2
83,P10,80,20
83,P11,85,16
83,P12,47,19
83,P13,90,20
83,P14,50,18
83,P15,75,18
83,P16,61,20
84,P1,22,13
84,P2,51,4
84,P3,58,13
84,P4,15,5
84,P5,50,5
84,P6,61,2
84,P7,60,19
84,P8,95,3
85,P1,5,3
85,P2,10,1
85,P3,87,12
85,P4,15,9
85,P5,88,14
85,P6,80,6
85,P7,45,8
85,P8,57,4
85,P9,58,18
85,P10,32,18
86,P1,97,12
86,P2,65,2
86,P3,46,19
86,P4,20,6
86,P5,63,8
86,P6,62,3
86,P7,57,6
86,P8,16,16
86,P9,13,17
86,P10,78,20
86,P11,85,9
87,P1,94,20
87,P2,25,13
87,P3,81,13
87,P4,86,12
87,P5,12,2
87,P6,49,15
87,P7,56,18
87,P8,74,13
87,P9,33,13
87,P10,90,15
87,P11,71,1
87,P12,18,1
87,P13,39,20
87,P14,14,20
87,P15,48,3
87,P16,35,7
87,P17,83,9
87,P18,44,3
88,P1,9,15
88,P2,15,1
88,P3,82,2
88,P4,74,12
88,P5,13,8
88,P6,50,2
88,P7,3,14
88,P8,96,12
88,P9,62,3
88,P10,89,1
88,P11,5,3
88,P12,58,7
88,P13,90,15
88,P14,78,12
89,P1,90,11
89,P2,48,14
89,P3,17,16
89,P4,44,9
89,P5,41,15
89,P6,73,2
89,P7,90,16
89,P8,78,15
89,P9,44,8
89,P10,91,4
89,P11,33,11
89,P12,11,9
89,P13,91,2
89,P14,11,17
89,P15,60,19
89,P16,99,20
89,P17,67,5
89,P18,43,3
89,P19,82,6
89,P20,21,7
90,P1,54,12
90,P2,36,15
90,P3,71,13
90,P4,52,19
90,P5,57,3
90,P6,58,4
90,P7,68,10
90,P8,25,3
90,P9,80,18
90,P10,16,2
90,P11,37,16
90,P12,77,17
90,P13,8,1
90,P14,66,18
90,P15,96,11
90,P16,27,19
90,P17,4,5
91,P1,25,12
91,P2,86,1
91,P3,72,13
91,P4,32,5
91,P5,65,18
91,P6,51,18
91,P7,77,8
91,P8,71,18
91,P9,2,17
91,P10,72,1
91,P11,86,3
91,P12,33,12
91,P13,70,10
91,P14,36,18
91,P15,7,20
91,P16,8,16
92,P1,87,13
92,P2,64,2
92,P3,62,10
92,P4,53,15
92,P5,98,13
92,P6,97,2
92,P7,60,8
92,P8,60,15
92,P9,68,18
92,P10,93,11
92,P11,31,16
93,P1,3,6
93,P2,93,9
93,P3,33,3
93,P4,7,17
93,P5,28,15
93,P6,73,15
93,P7,1,4
93,P8,88,8
93,P9,7,18
93,P10,23,11
93,P11,97,7
93,P12,93,19
93,P13,67,16
93,P14,77,9
93,P15,39,15
93,P16,35,19
93,P17,71,8
93,P18,76,13
94,P1,15,19
94,P2,70,1
94,P3,76,13
94,P4,21,12
94,P5,47,11
94,P6,47,14
94,P7,97,9
94,P8,76,2
94,P9,62,2
94,P10,87,12
95,P1,84,14
95,P2,9,10
95,P3,22,6
95,P4,47,8
95,P5,98,17
95,P6,96,11
95,P7,73,3
95,P8,7,15
95,P9,10,14
95,P10,91,5
95,P11,9,20
95,P12,98,9
95,P13,40,19
95,P14,72,7
95,P15,75,12
95,P16,54,6
95,P17,72,13
95,P18,99,4
95,P19,18,9
95,P20,40,7
96,P1,51,14
96,P2,85,19
96,P3,97,14
96,P4,2,12
96,P5,46,19
96,P6,37,10
96,P7,54,15
96,P8,17,4
97,P1,7,13
97,P2,1,20
97,P3,4,19
97,P4,26,9
97,P5,14,16
97,P6,24,6
97,P7,11,13
97,P8,37,2
97,P9,0,6
97,P10,85,5
97,P11,73,7
97,P12,62,9
97,P13,45,9
97,P14,83,13
97,P15,67,20
97,P16,23,6
97,P17,49,4
98,P1,88,1
98,P2,93,2
98,P3,66,8
98,P4,73,13
98,P5,75,10
98,P6,24,17
98,P7,48,20
98,P8,74,17
98,P9,19,11
98,P10,34,16
98,P11,73,13
98,P12,86,10
98,P13,91,6
98,P14,38,20
98,P15,44,14
98,P16,55,17
98,P17,36,6
98,P18,36,5
98,P19,2,1
98,P20,75,7
99,P1,82,1
99,P2,71,20
99,P3,98,5
99,P4,31,16
99,P5,25,6
99,P6,3,12
99,P7,95,9
99,P8,6,20
99,P9,64,12
99,P10,93,14
99,P11,6,3
99,P12,27,3
99,P13,62,18
99,P14,66,19
99,P15,71,5
99,P16,86,20
99,P17,93,17
99,P18,3,15
99,P19,37,1
100,P1,47,13
100,P2,22,1
100,P3,42,7
100,P4,43,16
100,P5,31,18
100,P6,73,8
100,P7,84,13
100,P8,54,13
101,P1,0,15
101,P2,0,32
101,P3,0,10
101,P4,0,26
101,P5,0,20
102,P1,0,7
102,P2,4,25
102,P3,10,5
102,P4,15,36
102,P5,17,18

